latitude,longitude,messageTime,odometer.value,truck_name,timeedit,datetime
43.063466,-76.120177,2020-12-17T15:58:19Z,14898.55,977157,2020-12-17 15:58:19+00:00,2020-12-17 11:00:00
43.064106,-76.120248,2020-12-17T15:58:34Z,14898.62,977157,2020-12-17 15:58:34+00:00,2020-12-17 11:00:00
43.064391,-76.11968,2020-12-17T15:58:49Z,14898.62,977157,2020-12-17 15:58:49+00:00,2020-12-17 11:00:00
43.064391,-76.118684,2020-12-17T15:59:05Z,14898.68,977157,2020-12-17 15:59:05+00:00,2020-12-17 11:00:00
43.064462,-76.117831,2020-12-17T15:59:20Z,14898.74,977157,2020-12-17 15:59:20+00:00,2020-12-17 11:00:00
43.064462,-76.116622,2020-12-17T15:59:35Z,14898.8,977157,2020-12-17 15:59:35+00:00,2020-12-17 11:00:00
43.064533,-76.115626,2020-12-17T15:59:50Z,14898.87,977157,2020-12-17 15:59:50+00:00,2020-12-17 11:00:00
43.064604,-76.115271,2020-12-17T16:00:06Z,14898.87,977157,2020-12-17 16:00:06+00:00,2020-12-17 12:00:00
43.064604,-76.115271,2020-12-17T16:00:21Z,14898.87,977157,2020-12-17 16:00:21+00:00,2020-12-17 12:00:00
43.064604,-76.1152,2020-12-17T16:00:36Z,14898.87,977157,2020-12-17 16:00:36+00:00,2020-12-17 12:00:00
43.064533,-76.1152,2020-12-17T16:00:52Z,14898.87,977157,2020-12-17 16:00:52+00:00,2020-12-17 12:00:00
43.065457,-76.115271,2020-12-17T16:01:07Z,14898.93,977157,2020-12-17 16:01:07+00:00,2020-12-17 12:00:00
43.066951,-76.115342,2020-12-17T16:01:22Z,14899.05,977157,2020-12-17 16:01:22+00:00,2020-12-17 12:00:00
43.067946,-76.115626,2020-12-17T16:01:37Z,14899.11,977157,2020-12-17 16:01:37+00:00,2020-12-17 12:00:00
43.068231,-76.115626,2020-12-17T16:01:53Z,14899.11,977157,2020-12-17 16:01:53+00:00,2020-12-17 12:00:00
43.068231,-76.115626,2020-12-17T16:02:08Z,14899.11,977157,2020-12-17 16:02:08+00:00,2020-12-17 12:00:00
43.068231,-76.115626,2020-12-17T16:02:23Z,14899.11,977157,2020-12-17 16:02:23+00:00,2020-12-17 12:00:00
43.068231,-76.115626,2020-12-17T16:02:38Z,14899.11,977157,2020-12-17 16:02:38+00:00,2020-12-17 12:00:00
43.068231,-76.115626,2020-12-17T16:02:54Z,14899.11,977157,2020-12-17 16:02:54+00:00,2020-12-17 12:00:00
43.067875,-76.116906,2020-12-17T16:03:09Z,14899.24,977157,2020-12-17 16:03:09+00:00,2020-12-17 12:00:00
43.066808,-76.119182,2020-12-17T16:03:24Z,14899.36,977157,2020-12-17 16:03:24+00:00,2020-12-17 12:00:00
43.065813,-76.121173,2020-12-17T16:03:39Z,14899.49,977157,2020-12-17 16:03:39+00:00,2020-12-17 12:00:00
43.065173,-76.121244,2020-12-17T16:03:55Z,14899.55,977157,2020-12-17 16:03:55+00:00,2020-12-17 12:00:00
